assembly	acetylcoa	but	buk	succinate	pdiol
GENOME000005	0	0	0	0	1
GENOME000013	0	0	0	1	0
GENOME000025	0	0	0	0	0
GENOME000028	0	0	0	1	0
GENOME000039	0	0	0	1	0
GENOME000041	0	0	0	0	0
GENOME000061	1	0	0	0	0
GENOME000074	0	0	0	0	0
GENOME000078	0	0	0	0	0
GENOME000080	1	1	0	0	0
GENOME000086	0	0	0	0	1
GENOME000087	0	0	0	0	0
GENOME000096	0	0	0	0	0
GENOME000098	0	0	0	1	0
GENOME000100	1	1	0	0	0
GENOME000101	0	0	0	0	0
GENOME000102	0	0	0	0	0
GENOME000103	0	0	0	0	1
GENOME000112	1	1	1	0	0
GENOME000114	0	0	0	0	1
GENOME000117	1	1	0	0	0
GENOME000118	0	0	0	0	0
GENOME000126	0	0	0	0	1
GENOME000132	0	0	0	0	0
GENOME000138	1	1	1	0	0
GENOME000142	1	1	0	0	0
GENOME000148	1	1	0	0	0
GENOME000150	0	0	0	0	1
GENOME000153	1	1	0	0	0
GENOME000164	0	0	0	0	1
GENOME000165	0	0	0	0	1
GENOME000168	0	0	0	0	0
GENOME000170	1	1	0	0	0
GENOME000176	0	0	0	0	0
GENOME000177	0	0	0	0	0
GENOME000186	0	0	0	1	0
GENOME000191	0	0	0	1	0
GENOME000193	0	0	0	0	0
GENOME000204	0	0	0	0	1
GENOME000206	0	0	0	0	1
GENOME000210	0	0	0	0	0
GENOME000211	1	1	0	0	0
GENOME000213	0	0	0	0	0
GENOME000214	1	0	1	0	0
GENOME000234	1	1	0	0	0
GENOME000235	0	0	0	0	0
GENOME000240	0	0	0	1	0
GENOME000242	0	0	0	1	0
GENOME000258	0	0	0	0	0
GENOME000262	1	0	1	0	0
GENOME000263	0	0	0	0	0
GENOME000265	1	1	0	0	0
GENOME000267	0	0	0	0	0
GENOME000281	0	0	0	1	0
GENOME000292	1	1	0	0	0
GENOME000301	0	0	0	0	0
GENOME000303	1	1	0	0	0
GENOME000305	1	1	0	0	0
GENOME000306	0	0	0	0	0
GENOME000311	0	0	0	0	0
GENOME000315	0	0	0	0	0
GENOME000321	0	0	0	0	0
GENOME000353	0	0	0	0	0
GENOME000355	1	1	0	0	1
GENOME000366	1	0	1	0	0
GENOME000368	0	0	0	1	0
GENOME000380	0	0	0	0	0
GENOME000384	1	0	1	0	0
GENOME000429	0	0	0	0	0
GENOME000436	0	0	0	0	0
GENOME000442	1	0	1	0	0
GENOME000454	0	0	0	1	0
GENOME000456	0	0	0	0	1
GENOME000465	0	0	0	1	0
GENOME000472	0	0	0	1	0
GENOME000476	1	0	1	0	0
GENOME000491	0	0	0	1	0
GENOME000515	0	0	0	0	0
GENOME000531	0	0	0	0	1
GENOME000589	0	0	0	1	0
GENOME000593	0	0	0	1	0
GENOME000620	0	0	0	0	1
GENOME000638	0	0	0	1	0
GENOME000640	1	1	0	0	0
GENOME000641	0	0	0	0	1
GENOME000644	0	0	0	0	0
GENOME000692	1	1	0	0	0
GENOME000696	1	1	0	0	0
GENOME000701	0	0	0	0	1
GENOME000717	0	0	0	0	1
GENOME000721	1	0	0	0	0
GENOME000740	1	1	0	0	1
GENOME000751	0	0	0	1	0
GENOME000757	0	0	0	1	1
GENOME000758	0	0	0	1	0
GENOME000765	0	0	0	0	0
GENOME000766	1	1	0	0	0
GENOME000772	1	1	0	0	0
GENOME000773	1	1	0	0	0
GENOME000775	0	0	0	0	0
GENOME000776	1	0	0	0	0
GENOME000777	1	1	0	0	0
GENOME000779	0	0	0	0	0
GENOME000781	0	0	0	0	0
GENOME000788	0	0	0	0	0
GENOME000795	0	0	0	1	0
GENOME000796	0	0	0	0	0
GENOME000804	0	0	0	0	0
GENOME000808	0	0	0	1	0
GENOME000813	0	0	0	0	0
GENOME000815	0	0	0	0	0
GENOME000820	0	0	0	1	0
GENOME000831	0	0	0	1	0
GENOME000833	0	0	0	0	0
GENOME000834	0	0	0	0	0
GENOME000843	0	0	0	1	0
GENOME000844	0	0	0	0	1
GENOME000847	0	0	0	1	0
GENOME000853	1	0	0	0	0
GENOME000856	0	0	0	0	0
GENOME000860	0	0	0	0	0
GENOME000876	0	0	0	1	0
GENOME000886	1	0	1	0	0
GENOME000887	0	0	0	0	0
GENOME000891	0	0	0	0	0
GENOME000894	0	0	0	0	0
GENOME000896	0	0	0	0	0
GENOME000897	0	0	0	0	1
GENOME000901	0	0	0	0	0
GENOME000909	1	1	0	0	0
GENOME000910	0	0	0	1	0
GENOME000912	0	0	0	1	0
GENOME000918	0	0	0	0	0
GENOME000923	1	0	1	0	0
GENOME000925	0	0	0	0	0
GENOME000926	1	1	0	0	0
GENOME000929	0	0	0	0	1
GENOME000932	0	0	0	0	0
GENOME000934	0	0	0	0	0
GENOME000935	0	0	0	0	0
GENOME000937	1	0	0	0	0
GENOME000938	0	0	0	0	0
GENOME000950	0	0	0	0	0
GENOME000951	0	0	0	0	0
GENOME000960	0	0	0	0	0
GENOME000968	0	0	0	1	0
GENOME000971	0	0	0	1	0
GENOME000973	0	0	0	0	0
GENOME000974	0	0	0	0	1
GENOME000978	0	0	0	1	0
GENOME000982	0	0	0	0	1
GENOME000992	0	0	0	0	0
GENOME000993	0	0	0	0	0
GENOME000995	0	0	0	0	1
GENOME000999	0	0	0	0	0
GENOME001000	0	0	0	0	0
GENOME001001	1	1	0	0	0
GENOME001011	1	0	0	0	0
GENOME001013	1	1	0	0	0
GENOME001019	0	0	0	0	0
GENOME001030	0	0	0	0	0
GENOME001036	1	1	0	0	0
GENOME001050	1	1	0	0	0
GENOME001054	0	0	0	0	0
GENOME001055	0	0	0	0	0
GENOME001058	0	0	0	0	1
GENOME001061	0	0	0	1	0
GENOME001062	0	0	0	0	1
GENOME001065	0	0	0	0	0
GENOME001068	0	0	0	0	1
GENOME001080	0	0	0	0	0
GENOME001087	0	0	0	0	0
GENOME001088	0	0	0	0	0
GENOME001092	0	0	0	1	0
GENOME001096	1	1	0	0	0
GENOME001098	0	0	0	1	0
GENOME001107	0	0	0	1	0
GENOME001117	1	1	0	0	1
GENOME001119	0	0	0	0	0
GENOME001124	1	1	0	0	0
GENOME001128	0	0	0	0	0
GENOME001136	0	0	0	0	0
GENOME001143	0	0	0	0	0
GENOME001146	0	0	0	0	1
GENOME001151	0	0	0	0	0
GENOME001167	1	1	0	0	0
GENOME001173	0	0	0	0	0
GENOME001175	0	0	0	1	0
GENOME001182	0	0	0	0	0
GENOME001183	0	0	0	0	0
GENOME001203	1	1	0	0	0
GENOME001209	1	1	0	0	0
GENOME001214	0	0	0	1	0
GENOME001221	1	1	0	0	0
GENOME001224	0	0	0	0	1
GENOME001235	0	0	0	0	0
GENOME001238	0	0	0	0	0
GENOME001240	1	1	0	0	0
GENOME001248	1	1	0	0	0
GENOME001250	0	0	0	0	0
GENOME001256	0	0	0	0	0
GENOME001258	1	1	0	0	0
GENOME001263	0	0	0	1	0
GENOME001271	0	0	0	0	0
GENOME001273	0	0	0	0	0
GENOME001281	0	0	0	0	1
GENOME001283	1	0	1	0	0
GENOME001284	0	0	0	0	0
GENOME001285	0	0	0	0	0
GENOME001291	0	0	0	1	0
GENOME001292	1	1	0	0	0
GENOME001296	0	0	0	1	0
GENOME001304	0	0	0	1	0
GENOME001305	0	0	0	0	1
GENOME001311	1	1	0	0	0
GENOME001332	0	0	0	0	0
GENOME001333	0	0	0	0	0
GENOME001338	0	0	0	0	0
GENOME001362	0	0	0	0	1
GENOME001392	0	0	0	0	0
GENOME001393	1	1	0	0	0
GENOME001394	0	0	0	1	0
GENOME001395	1	0	0	1	0
GENOME001402	0	0	0	1	0
GENOME001404	0	0	0	0	0
GENOME001409	0	0	0	1	0
GENOME001424	0	0	0	0	1
GENOME001425	0	0	0	1	0
GENOME001437	0	0	0	0	1
GENOME001453	0	0	0	0	0
GENOME001476	0	0	0	0	1
GENOME001482	0	0	0	0	0
GENOME001495	0	0	0	1	0
GENOME001501	0	0	0	0	0
GENOME001505	0	0	0	0	1
GENOME001509	1	1	0	0	1
GENOME001510	0	0	0	1	0
GENOME001513	1	0	1	0	0
GENOME001514	0	0	0	0	0
GENOME001520	0	0	0	0	0
GENOME001522	0	0	0	0	0
GENOME001527	0	0	0	0	1
GENOME001531	0	0	0	0	0
GENOME001536	1	1	0	0	0
GENOME001544	1	1	0	0	0
GENOME001546	0	0	0	0	0
GENOME001555	0	0	0	1	0
GENOME001568	0	0	0	0	1
GENOME001569	0	0	0	1	0
GENOME001571	0	0	0	0	0
GENOME001582	1	1	0	0	0
GENOME001584	0	0	0	0	0
GENOME001586	0	0	0	0	0
GENOME001588	0	0	0	0	0
GENOME001596	0	0	0	0	0
GENOME001597	0	0	0	0	0
GENOME001599	1	1	0	0	0
GENOME001601	0	0	0	0	0
GENOME001615	0	0	0	0	1
GENOME001641	0	0	0	1	0
GENOME001642	0	0	0	1	0
GENOME001644	0	0	0	0	0
GENOME001647	0	0	0	0	1
GENOME001650	0	0	0	0	0
GENOME001660	0	0	0	1	0
GENOME001661	0	0	0	1	0
GENOME001663	1	1	0	0	0
GENOME001671	1	1	0	0	0
GENOME001676	0	0	0	0	0
GENOME001680	0	0	0	0	0
GENOME001682	1	1	0	0	0
GENOME001693	0	0	0	0	1
GENOME001700	1	1	0	0	0
GENOME001701	0	0	0	0	0
GENOME001711	0	0	0	0	0
GENOME001712	1	1	0	0	0
GENOME001720	0	0	0	1	0
GENOME001726	0	0	0	0	0
GENOME001741	0	0	0	0	1
GENOME001742	0	0	0	0	0
GENOME001756	0	0	0	0	0
GENOME001758	0	0	0	0	1
GENOME001760	1	1	0	0	0
GENOME001761	0	0	0	0	1
GENOME001772	0	0	0	0	0
GENOME001774	0	0	0	0	0
GENOME001786	0	0	0	0	0
GENOME001795	0	0	0	0	0
GENOME001796	0	0	0	1	0
GENOME001811	1	1	0	0	0
GENOME001814	0	0	0	0	1
GENOME001817	0	0	0	0	0
GENOME001820	0	0	0	0	0
GENOME001821	0	0	0	0	0
GENOME001824	1	1	0	0	0
GENOME001828	0	0	0	1	0
GENOME001837	1	1	0	0	0
GENOME001856	0	0	0	0	1
GENOME001859	0	0	0	0	0
GENOME001869	0	0	0	0	1
GENOME001872	0	0	0	1	0
GENOME001876	1	0	1	0	0
GENOME015911	0	0	0	1	0
GENOME015913	0	0	0	0	0
GENOME054819	1	0	1	0	0
GENOME095234	0	0	0	1	0
GENOME095933	0	0	0	0	1
GENOME095959	0	0	0	1	0
GENOME095964	0	0	0	0	0
GENOME096001	0	0	0	0	0
GENOME096014	0	0	0	1	0
GENOME096019	0	0	0	0	0
GENOME096022	0	0	0	0	0
GENOME096030	1	0	0	0	0
GENOME096050	0	0	0	0	0
GENOME096062	0	0	0	0	0
GENOME096086	1	0	0	0	1
GENOME096088	0	0	0	1	0
GENOME096092	1	0	0	0	0
GENOME096094	0	0	0	1	0
